68_1	What is cuisine is Emilia-Romagna famous for?	What is cuisine is Emilia-Romagna famous for?
68_2	Tell me about cooking schools and classes.	Tell me about cooking schools and classes.
68_3	What are famous foods from the region?	What are famous foods from the region?
68_4	Describe the traditional process for making balsamic vinegar?	Describe the traditional process for making balsamic vinegar?
68_5	What is mortadella and where is it from?	What is mortadella and where is mortadella from?
68_6	What’s the difference with Bologna?	What’s the difference with Bologna?
68_7	Where was Parmesan cheese created?	Where was Parmesan cheese created?
68_8	What is done with the whey after production?	What is done with the whey after production?
68_9	What are typical pasta dishes?	What are typical pasta dishes?
68_10	What is the history of tagliatelle al ragu bolognese?	What is the history of tagliatelle al ragu bolognese?
68_11	What are its common variations?	What are tagliatelle al ragu bolognese's common variations?
